"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000368458","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000368458","0.049",,"0.9","0.842",,,"0.989","0.373"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000384849",,,"0.9","0.642",,,"0.982","0.555"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000350512","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000350512","0.084",,,"0.875",,,"0.992","0.937"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000256442","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000256442",,,,"0.827",,,"0.972","0.85"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000262643","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000262643","0.105",,"0.9","0.997",,,"0.999","0.843"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000269305",,,"0.9","0.076",,,"0.991","0.911"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000410452","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000410452","0.044",,,"0.536",,,"0.951","0.899"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000339527","0.092",,"0.75","0.429",,,"0.98","0.869"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000378699","0.091",,,"0.903",,,"0.978","0.777"
"pp","9606.ENSP00000228872 (pp) 9606.ENSP00000429089","false","pp","9606.ENSP00000228872 (pp) 9606.ENSP00000429089","0.105",,"0.9","0.908",,,"0.998","0.815"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000405330",,,"0.9",,,,"0.954","0.561"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000325120","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000325120","0.055",,"0.9",,,,"0.92","0.222"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000360266",,,"0.9","0.328",,,"0.992","0.892"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000269305","0.047",,"0.9","0.818",,,"0.994","0.744"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000302486","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000302486","0.095",,"0.9","0.322",,,"0.97","0.579"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000339527","0.18",,"0.9","0.057",,,"0.949","0.423"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000394560","0.082","0.062","0.9",,,,"0.942","0.416"
"pp","9606.ENSP00000229795 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000229795 (pp) 9606.ENSP00000378974","0.11","0.061","0.9","0.292",,,"0.955","0.366"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000369497","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000369497","0.16",,"0.54",,,,"0.968","0.926"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000368458","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000368458","0.456",,"0.5","0.859",,,"0.972","0.365"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000234420","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000234420","0.683","0.14","0.9","0.998",,,"0.999","0.992"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000269305","0.061",,"0.5","0.599",,,"0.974","0.882"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000375978","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000375978","0.202",,"0.9","0.133",,,"0.973","0.666"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000320485","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000320485","0.181",,,,,,"0.974","0.97"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000372023","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000372023","0.183",,,"0.536",,,"0.934","0.841"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000278616","0.067",,"0.9","0.324",,,"0.999","0.995"
"pp","9606.ENSP00000233146 (pp) 9606.ENSP00000493712","false","pp","9606.ENSP00000233146 (pp) 9606.ENSP00000493712","0.243",,,"0.355",,"0.057","0.944","0.893"
"pp","9606.ENSP00000234420 (pp) 9606.ENSP00000375978","false","pp","9606.ENSP00000234420 (pp) 9606.ENSP00000375978","0.148",,"0.9","0.292",,,"0.972","0.591"
"pp","9606.ENSP00000234420 (pp) 9606.ENSP00000369497","false","pp","9606.ENSP00000234420 (pp) 9606.ENSP00000369497","0.142",,"0.54",,,,"0.967","0.924"
"pp","9606.ENSP00000234420 (pp) 9606.ENSP00000368458","false","pp","9606.ENSP00000234420 (pp) 9606.ENSP00000368458","0.451",,"0.5","0.994",,,"0.998","0.374"
"pp","9606.ENSP00000234420 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000234420 (pp) 9606.ENSP00000278616","0.074",,"0.9","0.324",,,"0.999","0.994"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000495360",,,,,,,"0.934","0.934"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000261769","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000261769",,,,"0.143",,,"0.965","0.962"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000269305",,,"0.5","0.51",,,"0.992","0.973"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000341551","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000341551","0.055",,,"0.095",,,"0.96","0.957"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000269141","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000269141",,,,,,,"0.932","0.933"
